prerequisite_task_id,task_id
SK-WF2-A01,SK-WF2-A02
SK-WF2-A02,SK-WF2-A03
SK-WF2-A03,SK-WF2-X01
SK-WF2-X01,SK-WF2-X02
SK-WF2-I60,SK-WF2-X03
SK-WF2-X01,SK-WF2-C01
SK-WF2-C01,SK-WF2-C02
SK-WF2-C02,SK-WF2-C03
SK-WF2-C03,SK-WF2-C04
SK-WF2-C04,SK-WF2-C05
SK-WF2-X02,SK-WF2-W01
SK-WF2-W01,SK-WF2-W02
SK-WF2-W02,SK-WF2-W03
SK-WF2-W03,SK-WF2-W04
SK-WF2-X02,SK-WF2-D01
SK-WF2-D01,SK-WF2-D02
SK-WF2-D02,SK-WF2-D03
SK-WF2-D03,SK-WF2-D04
SK-WF2-A03,SK-WF2-V01
SK-WF2-C05,SK-WF2-V02
SK-WF2-W04,SK-WF2-V03
SK-WF2-D04,SK-WF2-V03
SK-WF2-X03,SK-WF2-V04
SK-WF2-I60,SK-WF2-V04
SK-WF2-A03,SK-WF2-I10
SK-WF2-V01,SK-WF2-I10
SK-WF2-I10,SK-WF2-I20
SK-WF2-C05,SK-WF2-I20
SK-WF2-V02,SK-WF2-I20
SK-WF2-I20,SK-WF2-I40
SK-WF2-W04,SK-WF2-I40
SK-WF2-D04,SK-WF2-I40
SK-WF2-I40,SK-WF2-I60
SK-WF2-V03,SK-WF2-I60
SK-WF2-I60,SK-WF2-I90
SK-WF2-V04,SK-WF2-I90
