task_id,mode,path
SK-WF2-COORD,read,planning/workflow-foundation-v2
SK-WF2-0000,read,planning/workflow-foundation-v2
SK-WF2-A01,write,docs/workflow_foundation_v2/baseline
SK-WF2-A01,write,tests/wf2_acceptance/a
SK-WF2-A01,read,planning/workflow-foundation-v2
SK-WF2-A02,write,docs/workflow_foundation_v2/baseline
SK-WF2-A02,write,tests/wf2_acceptance/a
SK-WF2-A02,read,planning/workflow-foundation-v2
SK-WF2-A03,write,docs/workflow_foundation_v2/baseline
SK-WF2-A03,write,tests/wf2_acceptance/a
SK-WF2-A03,read,planning/workflow-foundation-v2
SK-WF2-X01,write,docs/workflow_foundation_v2/imports
SK-WF2-X01,write,tests/wf2_acceptance/x
SK-WF2-X01,read,planning/workflow-foundation-v2
SK-WF2-X02,write,docs/workflow_foundation_v2/imports
SK-WF2-X02,write,tests/wf2_acceptance/x
SK-WF2-X02,read,planning/workflow-foundation-v2
SK-WF2-X03,write,docs/workflow_foundation_v2/imports
SK-WF2-X03,write,tests/wf2_acceptance/x
SK-WF2-X03,read,planning/workflow-foundation-v2
SK-WF2-C01,write,cpp-context-compiler/scripts
SK-WF2-C01,write,cpp-context-compiler/schemas
SK-WF2-C01,write,cpp-context-compiler/references
SK-WF2-C01,write,cpp-context-compiler/tests
SK-WF2-C01,write,tests/wf2_acceptance/c
SK-WF2-C01,read,planning/workflow-foundation-v2
SK-WF2-C02,write,cpp-context-compiler/scripts
SK-WF2-C02,write,cpp-context-compiler/schemas
SK-WF2-C02,write,cpp-context-compiler/references
SK-WF2-C02,write,cpp-context-compiler/tests
SK-WF2-C02,write,tests/wf2_acceptance/c
SK-WF2-C02,read,planning/workflow-foundation-v2
SK-WF2-C03,write,cpp-context-compiler/scripts
SK-WF2-C03,write,cpp-context-compiler/schemas
SK-WF2-C03,write,cpp-context-compiler/references
SK-WF2-C03,write,cpp-context-compiler/tests
SK-WF2-C03,write,tests/wf2_acceptance/c
SK-WF2-C03,read,planning/workflow-foundation-v2
SK-WF2-C04,write,cpp-context-compiler/scripts
SK-WF2-C04,write,cpp-context-compiler/schemas
SK-WF2-C04,write,cpp-context-compiler/references
SK-WF2-C04,write,cpp-context-compiler/tests
SK-WF2-C04,write,tests/wf2_acceptance/c
SK-WF2-C04,read,planning/workflow-foundation-v2
SK-WF2-C05,write,cpp-context-compiler/scripts
SK-WF2-C05,write,cpp-context-compiler/schemas
SK-WF2-C05,write,cpp-context-compiler/references
SK-WF2-C05,write,cpp-context-compiler/tests
SK-WF2-C05,write,tests/wf2_acceptance/c
SK-WF2-C05,read,planning/workflow-foundation-v2
SK-WF2-W01,write,todo-orchestrator
SK-WF2-W01,write,integrations/coding-workflow-mcp
SK-WF2-W01,write,tests/wf2_acceptance/w
SK-WF2-W01,read,planning/workflow-foundation-v2
SK-WF2-W02,write,todo-orchestrator
SK-WF2-W02,write,integrations/coding-workflow-mcp
SK-WF2-W02,write,tests/wf2_acceptance/w
SK-WF2-W02,read,planning/workflow-foundation-v2
SK-WF2-W03,write,todo-orchestrator
SK-WF2-W03,write,integrations/coding-workflow-mcp
SK-WF2-W03,write,tests/wf2_acceptance/w
SK-WF2-W03,read,planning/workflow-foundation-v2
SK-WF2-W04,write,todo-orchestrator
SK-WF2-W04,write,integrations/coding-workflow-mcp
SK-WF2-W04,write,tests/wf2_acceptance/w
SK-WF2-W04,read,planning/workflow-foundation-v2
SK-WF2-D01,write,cuda/scripts
SK-WF2-D01,write,cuda/tests
SK-WF2-D01,write,local-coding-worker/local_worker
SK-WF2-D01,write,local-coding-worker/scripts
SK-WF2-D01,write,local-coding-worker/tests
SK-WF2-D01,write,tests/wf2_acceptance/d
SK-WF2-D01,read,planning/workflow-foundation-v2
SK-WF2-D02,write,cuda/scripts
SK-WF2-D02,write,cuda/tests
SK-WF2-D02,write,local-coding-worker/local_worker
SK-WF2-D02,write,local-coding-worker/scripts
SK-WF2-D02,write,local-coding-worker/tests
SK-WF2-D02,write,tests/wf2_acceptance/d
SK-WF2-D02,read,planning/workflow-foundation-v2
SK-WF2-D03,write,cuda/scripts
SK-WF2-D03,write,cuda/tests
SK-WF2-D03,write,local-coding-worker/local_worker
